
# 2026-06-17T21:39:57+01:00 | Autogluon_QR
method=Autogluon_QR | optimizer=NSGA-II | problem=re23 | seed=4 | time=38.33849239349365 | MSE_test=1415580267.0643458 | MSE_sur_real=129681678704.76942 | HV_sur=1.208877270755079 | HV_real=1.2095292457640985 | HV_bounds_check=False | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re23 | seed=5 | time=37.69652342796326 | MSE_test=1415580267.0643458 | MSE_sur_real=118225312736.08864 | HV_sur=1.2091914631281637 | HV_real=1.2095163648018104 | HV_bounds_check=False | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re23 | seed=6 | time=39.360241174697876 | MSE_test=1415580267.0643458 | MSE_sur_real=102084617006.13226 | HV_sur=1.210245111628705 | HV_real=1.2095054716621172 | HV_bounds_check=False | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re23 | seed=7 | time=37.14979267120361 | MSE_test=1415580267.0643458 | MSE_sur_real=114383210244.9143 | HV_sur=1.2102998030522043 | HV_real=1.209533126367069 | HV_bounds_check=False | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re23 | seed=8 | time=37.737287759780884 | MSE_test=1415580267.0643458 | MSE_sur_real=131720662231.98375 | HV_sur=1.2099806940911193 | HV_real=1.2095149916139127 | HV_bounds_check=False | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re23 | seed=9 | time=37.981330156326294 | MSE_test=1415580267.0643458 | MSE_sur_real=125480068806.28333 | HV_sur=1.2103002263624414 | HV_real=1.2094522315199576 | HV_bounds_check=False | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re23 | seed=10 | time=37.384472131729126 | MSE_test=1415580267.0643458 | MSE_sur_real=102526711363.84016 | HV_sur=1.210273587160798 | HV_real=1.2094866258871908 | HV_bounds_check=False | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re23 | seed=11 | time=37.18904137611389 | MSE_test=1415580267.0643458 | MSE_sur_real=106482474338.53632 | HV_sur=1.2091875338199964 | HV_real=1.209514643374488 | HV_bounds_check=False | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re23 | seed=12 | time=39.73294186592102 | MSE_test=1415580267.0643458 | MSE_sur_real=134455592722.19066 | HV_sur=1.210308306769964 | HV_real=1.2095212628472318 | HV_bounds_check=False | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re23 | seed=13 | time=37.18597769737244 | MSE_test=1415580267.0643458 | MSE_sur_real=113526094846.5132 | HV_sur=1.209976560110567 | HV_real=1.2095170330550071 | HV_bounds_check=False | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re23 | seed=14 | time=37.61454892158508 | MSE_test=1415580267.0643458 | MSE_sur_real=112145803886.14903 | HV_sur=1.2085220535130836 | HV_real=1.209515290721624 | HV_bounds_check=False | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re23 | seed=15 | time=38.2495756149292 | MSE_test=1415580267.0643458 | MSE_sur_real=101428088494.65921 | HV_sur=1.2102848908596735 | HV_real=1.2094955875479505 | HV_bounds_check=False | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re23 | seed=16 | time=36.6206579208374 | MSE_test=1415580267.0643458 | MSE_sur_real=115389788764.83656 | HV_sur=1.2085391166695099 | HV_real=1.2095398378138467 | HV_bounds_check=False | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re23 | seed=17 | time=37.08174276351929 | MSE_test=1415580267.0643458 | MSE_sur_real=130319184428.60876 | HV_sur=1.2102629722906906 | HV_real=1.2094995958433605 | HV_bounds_check=False | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re23 | seed=18 | time=59.29257416725159 | MSE_test=1415580267.0643458 | MSE_sur_real=116556632117.25562 | HV_sur=1.2088375269066003 | HV_real=1.2095285906117983 | HV_bounds_check=False | solution_count=100
method=Autogluon_QR | optimizer=NSGA-II | problem=re23 | seed=19 | time=37.84537363052368 | MSE_test=1415580267.0643458 | MSE_sur_real=108238472972.46187 | HV_sur=1.2091777604552105 | HV_real=1.2095158759935498 | HV_bounds_check=False | solution_count=100
