
# 2026-06-17T16:24:16+01:00 | Autogluon_Ensemble
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re23 | seed=8 | time=22.893598556518555 | MSE_test=1264697180.4375858 | MSE_sur_real=11412908925.768328 | HV_sur=1.2270116600400767 | HV_real=1.2095667844689308 | HV_bounds_check=False | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re23 | seed=9 | time=23.97369074821472 | MSE_test=1264697180.4375858 | MSE_sur_real=8210776424.835631 | HV_sur=1.227063845989551 | HV_real=1.2095635767224369 | HV_bounds_check=False | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re23 | seed=10 | time=34.81631517410278 | MSE_test=1264697180.4375858 | MSE_sur_real=8553030369.139744 | HV_sur=1.2277439492539854 | HV_real=1.2095579895707111 | HV_bounds_check=False | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re23 | seed=11 | time=24.39113187789917 | MSE_test=1264697180.4375858 | MSE_sur_real=12438645525.537848 | HV_sur=1.227670135734717 | HV_real=1.2095419650618708 | HV_bounds_check=False | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re23 | seed=12 | time=23.303892374038696 | MSE_test=1264697180.4375858 | MSE_sur_real=7787391293.396531 | HV_sur=1.2277474531123693 | HV_real=1.2095604812015568 | HV_bounds_check=False | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re23 | seed=13 | time=23.97147798538208 | MSE_test=1264697180.4375858 | MSE_sur_real=7383170276.130907 | HV_sur=1.2277514568927894 | HV_real=1.2095575318606444 | HV_bounds_check=False | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re23 | seed=14 | time=24.538991451263428 | MSE_test=1264697180.4375858 | MSE_sur_real=3016077684.5112057 | HV_sur=1.2277315255748977 | HV_real=1.209572820645557 | HV_bounds_check=False | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re23 | seed=15 | time=24.117627382278442 | MSE_test=1264697180.4375858 | MSE_sur_real=6865348893.614923 | HV_sur=1.227158649586643 | HV_real=1.2095635400637827 | HV_bounds_check=False | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re23 | seed=16 | time=24.88294291496277 | MSE_test=1264697180.4375858 | MSE_sur_real=8848609526.415062 | HV_sur=1.227673143970663 | HV_real=1.2095531743301056 | HV_bounds_check=False | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re23 | seed=17 | time=24.490553379058838 | MSE_test=1264697180.4375858 | MSE_sur_real=5735557471.71385 | HV_sur=1.2277161193066706 | HV_real=1.2095635554956758 | HV_bounds_check=False | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re23 | seed=18 | time=23.988504886627197 | MSE_test=1264697180.4375858 | MSE_sur_real=11488039431.310226 | HV_sur=1.227109660077246 | HV_real=1.2095549607463316 | HV_bounds_check=False | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re23 | seed=19 | time=24.29700207710266 | MSE_test=1264697180.4375858 | MSE_sur_real=7950079151.502693 | HV_sur=1.2277479663396007 | HV_real=1.2095589754326423 | HV_bounds_check=False | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re23 | seed=20 | time=36.166677951812744 | MSE_test=1264697180.4375858 | MSE_sur_real=2263088609.568926 | HV_sur=1.2272760023040976 | HV_real=1.2095685165731205 | HV_bounds_check=False | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re23 | seed=21 | time=24.577828884124756 | MSE_test=1264697180.4375858 | MSE_sur_real=7689763168.097116 | HV_sur=1.2270774874398551 | HV_real=1.2095625998506083 | HV_bounds_check=False | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re23 | seed=22 | time=23.339115381240845 | MSE_test=1264697180.4375858 | MSE_sur_real=8530080388.881465 | HV_sur=1.2175234239384078 | HV_real=1.2095668987527612 | HV_bounds_check=False | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re23 | seed=23 | time=24.57448959350586 | MSE_test=1264697180.4375858 | MSE_sur_real=8815974612.063002 | HV_sur=1.2277399651992986 | HV_real=1.2095563692332987 | HV_bounds_check=False | solution_count=100
