
# 2026-06-17T21:56:29+00:00 | GPR_RBF
method=GPR_RBF | optimizer=NSGA-II | problem=re22 | seed=19 | time=1.9439499378204346 | MSE_test=31131.265995659996 | MSE_sur_real=2008298567.0936148 | HV_sur=1.2011280340764512 | HV_real=1.2021984231461031 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re22 | seed=20 | time=1.7813525199890137 | MSE_test=31131.265995659996 | MSE_sur_real=7.951845045906244e+18 | HV_sur=1.2014121899454475 | HV_real=1.202198422615718 | HV_bounds_check=False | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re22 | seed=21 | time=1.770613431930542 | MSE_test=31131.265995659996 | MSE_sur_real=1.5057553548840428e+19 | HV_sur=1.2014121893971443 | HV_real=1.2021984228806064 | HV_bounds_check=False | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re22 | seed=22 | time=1.739018440246582 | MSE_test=31131.265995659996 | MSE_sur_real=369606366724407.44 | HV_sur=1.2014121576720496 | HV_real=1.2021984209659096 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re22 | seed=23 | time=1.749316692352295 | MSE_test=31131.265995659996 | MSE_sur_real=1419574643104783.2 | HV_sur=1.2014121669520557 | HV_real=1.2021984222397268 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re22 | seed=24 | time=1.7829723358154297 | MSE_test=31131.265995659996 | MSE_sur_real=690081275.3923168 | HV_sur=1.1997014056734523 | HV_real=1.202198420491188 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re22 | seed=25 | time=1.8359379768371582 | MSE_test=31131.265995659996 | MSE_sur_real=67262775218855.64 | HV_sur=1.2014121648385392 | HV_real=1.202198420203777 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re22 | seed=26 | time=1.862386703491211 | MSE_test=31131.265995659996 | MSE_sur_real=2.2702899468572508e+16 | HV_sur=1.2014121202497585 | HV_real=1.2021984225386886 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re22 | seed=27 | time=1.7825517654418945 | MSE_test=31131.265995659996 | MSE_sur_real=325428383802481.94 | HV_sur=1.2014121857589088 | HV_real=1.2021984206724416 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re22 | seed=28 | time=1.7964448928833008 | MSE_test=31131.265995659996 | MSE_sur_real=117207516349754.47 | HV_sur=1.201412168944824 | HV_real=1.2021984141021307 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re22 | seed=29 | time=1.7811877727508545 | MSE_test=31131.265995659996 | MSE_sur_real=1752698155.0604722 | HV_sur=1.1997009887274697 | HV_real=1.202198421825152 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re22 | seed=30 | time=1.8076066970825195 | MSE_test=31131.265995659996 | MSE_sur_real=307881866205804.44 | HV_sur=1.2014121812374456 | HV_real=1.2021984212307744 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re22 | seed=1 | time=2.0190892219543457 | MSE_test=31131.265995659996 | MSE_sur_real=7.578014672501555e+16 | HV_sur=1.2014121900957466 | HV_real=1.2021984228265907 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re22 | seed=2 | time=2.0438313484191895 | MSE_test=31131.265995659996 | MSE_sur_real=24341754305.709835 | HV_sur=1.1997012756138725 | HV_real=1.20219838949102 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re22 | seed=3 | time=2.074578046798706 | MSE_test=31131.265995659996 | MSE_sur_real=150990838525.1141 | HV_sur=1.2013823986937684 | HV_real=1.2021983744653901 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re22 | seed=4 | time=1.9360976219177246 | MSE_test=31131.265995659996 | MSE_sur_real=2.851628744392145e+17 | HV_sur=1.2014121907486714 | HV_real=1.202198422870479 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re22 | seed=5 | time=1.975586175918579 | MSE_test=31131.265995659996 | MSE_sur_real=1075450982805.1294 | HV_sur=1.201411797785532 | HV_real=1.202198370798975 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re22 | seed=6 | time=1.9827909469604492 | MSE_test=31131.265995659996 | MSE_sur_real=1.1622338031491844e+19 | HV_sur=1.2014121919566991 | HV_real=1.2021984228314762 | HV_bounds_check=False | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re22 | seed=7 | time=1.9386918544769287 | MSE_test=31131.265995659996 | MSE_sur_real=1.668828843237851e+16 | HV_sur=1.2014121873774544 | HV_real=1.2021984227674394 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re22 | seed=8 | time=2.079960823059082 | MSE_test=31131.265995659996 | MSE_sur_real=1.4781167042522736e+17 | HV_sur=1.2014121762289875 | HV_real=1.2021984224533808 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re22 | seed=9 | time=2.0369672775268555 | MSE_test=31131.265995659996 | MSE_sur_real=1.8370953557435612e+16 | HV_sur=1.2014121909860622 | HV_real=1.202198422527429 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re22 | seed=10 | time=2.0342648029327393 | MSE_test=31131.265995659996 | MSE_sur_real=3060124697585796.0 | HV_sur=1.2014121434142302 | HV_real=1.2021984224260815 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=Dual-Ranking+NSGA-II | problem=re22 | seed=11 | time=2.0109736919403076 | MSE_test=31131.265995659996 | MSE_sur_real=1079856696289222.1 | HV_sur=1.2014121811277922 | HV_real=1.2021984219021637 | HV_bounds_check=True | solution_count=None
