
# 2026-06-17T14:36:15+01:00 | DDMOEA-GAN
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re23 | seed=2 | time=1.8447327613830566 | MSE_test=98180415442.49887 | MSE_sur_real=14278306093.598911 | HV_sur=1.2100000000000002 | HV_real=1.0015531665746302 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re23 | seed=3 | time=1.9003791809082031 | MSE_test=98180415442.49887 | MSE_sur_real=14858150255.62516 | HV_sur=1.2100000000000002 | HV_real=0.957227527533471 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re23 | seed=4 | time=1.2903010845184326 | MSE_test=98180415442.49887 | MSE_sur_real=14660681190.578403 | HV_sur=1.2100000000000002 | HV_real=0.9575513324986117 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re23 | seed=5 | time=1.8486478328704834 | MSE_test=98180415442.49887 | MSE_sur_real=14276191499.350746 | HV_sur=1.2100000000000002 | HV_real=1.0490283904791982 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re23 | seed=6 | time=1.7531092166900635 | MSE_test=98180415442.49887 | MSE_sur_real=14628793538.703701 | HV_sur=1.2100000000000002 | HV_real=1.0315365767860831 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re23 | seed=7 | time=1.8813807964324951 | MSE_test=98180415442.49887 | MSE_sur_real=14493976446.79516 | HV_sur=1.2100000000000002 | HV_real=0.956318653281695 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re23 | seed=8 | time=1.906106948852539 | MSE_test=98180415442.49887 | MSE_sur_real=14947251338.585215 | HV_sur=1.2100000000000002 | HV_real=0.9773501060566019 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re23 | seed=9 | time=1.378861665725708 | MSE_test=98180415442.49887 | MSE_sur_real=14515258612.318071 | HV_sur=1.2100000000000002 | HV_real=1.0557873555503132 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re23 | seed=10 | time=1.855034589767456 | MSE_test=98180415442.49887 | MSE_sur_real=14344177649.795128 | HV_sur=1.2100000000000002 | HV_real=1.0692529918890477 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re23 | seed=11 | time=1.8458893299102783 | MSE_test=98180415442.49887 | MSE_sur_real=14401306990.241182 | HV_sur=1.2100000000000002 | HV_real=0.9861748148366103 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re23 | seed=12 | time=1.8935034275054932 | MSE_test=98180415442.49887 | MSE_sur_real=14497469063.804243 | HV_sur=1.2100000000000002 | HV_real=0.9560877080477443 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re23 | seed=13 | time=1.2405626773834229 | MSE_test=98180415442.49887 | MSE_sur_real=14318119783.999336 | HV_sur=1.2100000000000002 | HV_real=1.0624550021305899 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re23 | seed=14 | time=1.5297470092773438 | MSE_test=98180415442.49887 | MSE_sur_real=14333381338.963125 | HV_sur=1.2100000000000002 | HV_real=0.9741043020396741 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re23 | seed=15 | time=1.630037784576416 | MSE_test=98180415442.49887 | MSE_sur_real=14679355641.777554 | HV_sur=1.2100000000000002 | HV_real=1.0532180476793214 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re23 | seed=16 | time=1.6797921657562256 | MSE_test=98180415442.49887 | MSE_sur_real=14360683969.11962 | HV_sur=1.2100000000000002 | HV_real=1.0639100895548217 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re23 | seed=17 | time=1.698094367980957 | MSE_test=98180415442.49887 | MSE_sur_real=14673654473.701532 | HV_sur=1.2100000000000002 | HV_real=0.9551633491468099 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re23 | seed=18 | time=1.5960307121276855 | MSE_test=98180415442.49887 | MSE_sur_real=14904921622.277544 | HV_sur=1.2100000000000002 | HV_real=1.0453010331389447 | HV_bounds_check=None | solution_count=100
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re23 | seed=19 | time=1.312812328338623 | MSE_test=98180415442.49887 | MSE_sur_real=14672961113.904428 | HV_sur=1.2100000000000002 | HV_real=0.9821174996107495 | HV_bounds_check=None | solution_count=100
