
# 2026-06-17T14:40:28+01:00 | TGPR-MO
method=TGPR-MO | optimizer=TGPR-MO | problem=re22 | seed=28 | time=2.9977121353149414 | MSE_test=393423.287807428 | MSE_sur_real=2998.442714519338 | HV_sur=1.2013224413687997 | HV_real=1.2021984362319018 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re22 | seed=29 | time=2.865084648132324 | MSE_test=393423.287807428 | MSE_sur_real=3084.046307780559 | HV_sur=1.201322278000108 | HV_real=1.2021984362087363 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re22 | seed=30 | time=2.9722542762756348 | MSE_test=393423.287807428 | MSE_sur_real=2942.1027604227575 | HV_sur=1.2013223890118117 | HV_real=1.202198436289532 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re23 | seed=1 | time=3.4234697818756104 | MSE_test=10693997676.751623 | MSE_sur_real=72357245873.76772 | HV_sur=1.2100620178186516 | HV_real=1.2094535077033366 | HV_bounds_check=None | solution_count=33
method=TGPR-MO | optimizer=TGPR-MO | problem=re23 | seed=2 | time=3.4474713802337646 | MSE_test=10693997676.751623 | MSE_sur_real=65831302618.67721 | HV_sur=1.2100596586603152 | HV_real=1.2094268416715612 | HV_bounds_check=None | solution_count=33
method=TGPR-MO | optimizer=TGPR-MO | problem=re23 | seed=3 | time=3.484194040298462 | MSE_test=10693997676.751623 | MSE_sur_real=66937692601.247574 | HV_sur=1.2100619297567714 | HV_real=1.2094537230613718 | HV_bounds_check=None | solution_count=33
method=TGPR-MO | optimizer=TGPR-MO | problem=re23 | seed=4 | time=3.4023728370666504 | MSE_test=10693997676.751623 | MSE_sur_real=81944528457.11229 | HV_sur=1.2100617495740367 | HV_real=1.2094533015615905 | HV_bounds_check=None | solution_count=33
method=TGPR-MO | optimizer=TGPR-MO | problem=re23 | seed=5 | time=3.4947428703308105 | MSE_test=10693997676.751623 | MSE_sur_real=72059062398.77768 | HV_sur=1.2100615418440857 | HV_real=1.2094538510825856 | HV_bounds_check=None | solution_count=33
method=TGPR-MO | optimizer=TGPR-MO | problem=re23 | seed=6 | time=3.415739059448242 | MSE_test=10693997676.751623 | MSE_sur_real=80107567760.72266 | HV_sur=1.2100535821830596 | HV_real=1.2094362244601644 | HV_bounds_check=None | solution_count=33
method=TGPR-MO | optimizer=TGPR-MO | problem=re23 | seed=7 | time=3.3982439041137695 | MSE_test=10693997676.751623 | MSE_sur_real=69774156087.92123 | HV_sur=1.210043181741242 | HV_real=1.20938875334285 | HV_bounds_check=None | solution_count=33
method=TGPR-MO | optimizer=TGPR-MO | problem=re23 | seed=8 | time=3.390345335006714 | MSE_test=10693997676.751623 | MSE_sur_real=70106700307.92226 | HV_sur=1.210060684020065 | HV_real=1.2094544980717012 | HV_bounds_check=None | solution_count=33
method=TGPR-MO | optimizer=TGPR-MO | problem=re23 | seed=9 | time=3.4039013385772705 | MSE_test=10693997676.751623 | MSE_sur_real=71686780586.4458 | HV_sur=1.2100592353960107 | HV_real=1.2094373496905584 | HV_bounds_check=None | solution_count=33
method=TGPR-MO | optimizer=TGPR-MO | problem=re23 | seed=10 | time=3.4828855991363525 | MSE_test=10693997676.751623 | MSE_sur_real=76405502446.48657 | HV_sur=1.2100622974587516 | HV_real=1.209453700410573 | HV_bounds_check=None | solution_count=33
method=TGPR-MO | optimizer=TGPR-MO | problem=re23 | seed=11 | time=3.425901174545288 | MSE_test=10693997676.751623 | MSE_sur_real=67311974334.636566 | HV_sur=1.2099959185961005 | HV_real=1.2093880061688393 | HV_bounds_check=None | solution_count=33
method=TGPR-MO | optimizer=TGPR-MO | problem=re23 | seed=12 | time=3.3896782398223877 | MSE_test=10693997676.751623 | MSE_sur_real=78534333330.12099 | HV_sur=1.2100508115499253 | HV_real=1.20934196826983 | HV_bounds_check=None | solution_count=33
method=TGPR-MO | optimizer=TGPR-MO | problem=re23 | seed=13 | time=3.4444618225097656 | MSE_test=10693997676.751623 | MSE_sur_real=67898553778.3712 | HV_sur=1.21006049749331 | HV_real=1.2094555433451308 | HV_bounds_check=None | solution_count=33
method=TGPR-MO | optimizer=TGPR-MO | problem=re23 | seed=14 | time=3.2770867347717285 | MSE_test=10693997676.751623 | MSE_sur_real=68570868614.19575 | HV_sur=1.2100626553166252 | HV_real=1.2094542132450052 | HV_bounds_check=None | solution_count=33
