
# 2026-06-17T21:56:45+00:00 | GPR_Matern
method=GPR_Matern | optimizer=NSGA-II | problem=re22 | seed=12 | time=2.022962808609009 | MSE_test=32497.25311254042 | MSE_sur_real=20065848228.704296 | HV_sur=1.2028952912561919 | HV_real=1.202198410609253 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re22 | seed=13 | time=2.1266229152679443 | MSE_test=32497.25311254042 | MSE_sur_real=1039159626160228.5 | HV_sur=1.2039121513006135 | HV_real=1.2021984230287919 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re22 | seed=14 | time=1.9886646270751953 | MSE_test=32497.25311254042 | MSE_sur_real=16087984787668.064 | HV_sur=1.2027519606945858 | HV_real=1.2021984222762374 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re22 | seed=15 | time=1.96366286277771 | MSE_test=32497.25311254042 | MSE_sur_real=94231597802.86363 | HV_sur=1.2027518291292327 | HV_real=1.202198341954824 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re22 | seed=16 | time=1.9477596282958984 | MSE_test=32497.25311254042 | MSE_sur_real=523140702948.0431 | HV_sur=1.2027519208556463 | HV_real=1.202198418848338 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re22 | seed=17 | time=1.9626410007476807 | MSE_test=32497.25311254042 | MSE_sur_real=20410122951.29123 | HV_sur=1.202979153791303 | HV_real=1.202198412649308 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re22 | seed=18 | time=1.9943981170654297 | MSE_test=32497.25311254042 | MSE_sur_real=20862946678051.785 | HV_sur=1.2037737399570807 | HV_real=1.2021984188315806 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re22 | seed=19 | time=2.0752787590026855 | MSE_test=32497.25311254042 | MSE_sur_real=1043345494114.5767 | HV_sur=1.2023806792894993 | HV_real=1.2021984217235933 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re22 | seed=20 | time=2.0437827110290527 | MSE_test=32497.25311254042 | MSE_sur_real=1240964562914.0664 | HV_sur=1.2023821698763666 | HV_real=1.2021984203077265 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re22 | seed=21 | time=1.930070400238037 | MSE_test=32497.25311254042 | MSE_sur_real=107619495435533.16 | HV_sur=1.2027520756825594 | HV_real=1.2021984218328794 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re22 | seed=22 | time=1.9389634132385254 | MSE_test=32497.25311254042 | MSE_sur_real=39203460079.40516 | HV_sur=1.2023818023140844 | HV_real=1.2021983588462164 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re22 | seed=23 | time=1.968029499053955 | MSE_test=32497.25311254042 | MSE_sur_real=631340794016.3977 | HV_sur=1.2027518926385725 | HV_real=1.2021984142847872 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re22 | seed=24 | time=1.929323434829712 | MSE_test=32497.25311254042 | MSE_sur_real=44685436557.32176 | HV_sur=1.2032798958089443 | HV_real=1.2021984177930727 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re22 | seed=25 | time=2.1059463024139404 | MSE_test=32497.25311254042 | MSE_sur_real=86273371449.5742 | HV_sur=1.203911385868052 | HV_real=1.202198404079663 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re22 | seed=26 | time=2.1147687435150146 | MSE_test=32497.25311254042 | MSE_sur_real=64130374134683.02 | HV_sur=1.2033926527157315 | HV_real=1.2021984214892416 | HV_bounds_check=True | solution_count=None
