timestamp,method,optimizer,problem,MSE_test_mean,MSE_test_std,MSE_sur_real_mean,MSE_sur_real_std,HV_sur_mean,HV_sur_std,HV_real_mean,HV_real_std
2026-06-17T22:14:21+00:00,GPR-Matern,NSGA-II,welded_beam,3.02E+02,5.68E-14,5.52E-01,4.48E-01,5.96E-01,2.41E-03,5.92E-01,2.01E-03
2026-06-17T22:14:21+00:00,GPR-Matern,Dual-Ranking+NSGA-II,welded_beam,3.02E+02,5.68E-14,8.04E-01,4.03E-01,5.97E-01,2.07E-03,5.92E-01,1.58E-03
2026-06-17T21:39:57+01:00,QR,NSGA-II,re21,7.24E+01,0,1.23E+03,1.66E+02,5.22E-01,1.50E-04,5.71E-01,5.77E-04
2026-06-17T21:39:57+01:00,QR,NSGA-II,re22,3.49E+03,4.55E-13,3.55E+03,6.79E+03,1.16E+00,2.18E-05,1.20E+00,2.61E-07
2026-06-17T21:39:57+01:00,QR,NSGA-II,re23,1.42E+09,0,1.18E+11,1.05E+10,1.21E+00,6.55E-04,1.21E+00,1.94E-05
2026-06-17T21:39:57+01:00,QR,NSGA-II,re24,4.31E+01,7.11E-15,5.10E+01,5.50E+00,1.18E+00,6.53E-06,1.18E+00,5.89E-04
2026-06-17T21:39:57+01:00,QR,NSGA-II,re25,2.90E+10,0,1.75E+10,1.15E+09,1.12E+00,8.37E-05,1.12E+00,1.66E-06
2026-06-17T21:39:57+01:00,QR,NSGA-II,mo-portfolio,2.65E-06,0,7.39E-04,1.10E-04,1.43E-01,8.65E-05,2.44E-01,4.24E-03
2026-06-17T21:39:57+01:00,QR,NSGA-II,truss2d,2.57E+12,0,1.09E+08,1.66E+07,1.11E+00,1.29E-03,1.13E+00,3.17E-03
2026-06-17T21:39:57+01:00,QR,NSGA-II,welded_beam,4.46E+02,5.68E-14,3.69E-01,1.39E-01,5.91E-01,2.97E-04,5.93E-01,8.27E-04
2026-06-17T21:39:57+01:00,QR,Dual-Ranking+NSGA-II,re21,7.24E+01,0,1.29E+03,1.75E+02,5.21E-01,3.46E-04,5.71E-01,1.20E-03
2026-06-17T21:39:57+01:00,QR,Dual-Ranking+NSGA-II,re22,3.49E+03,4.55E-13,5.17E+03,1.36E+04,1.16E+00,8.41E-05,1.20E+00,3.28E-06
2026-06-17T21:39:57+01:00,QR,Dual-Ranking+NSGA-II,re23,1.42E+09,0,8.45E+10,9.98E+09,1.21E+00,6.11E-04,1.21E+00,1.49E-04
2026-06-17T21:39:57+01:00,QR,Dual-Ranking+NSGA-II,re24,4.31E+01,7.11E-15,5.72E+01,7.32E+00,1.18E+00,9.84E-06,1.19E+00,6.64E-04
2026-06-17T21:39:57+01:00,QR,Dual-Ranking+NSGA-II,re25,2.90E+10,0,1.66E+10,1.61E+09,1.12E+00,1.63E-04,1.12E+00,2.83E-06
2026-06-17T21:39:57+01:00,QR,Dual-Ranking+NSGA-II,mo-portfolio,2.65E-06,0,9.01E-04,1.46E-04,1.43E-01,6.41E-05,2.52E-01,6.09E-03
2026-06-17T21:39:57+01:00,QR,Dual-Ranking+NSGA-II,truss2d,2.57E+12,0,5.09E+07,1.11E+07,1.11E+00,6.18E-04,1.13E+00,2.47E-03
2026-06-17T21:39:57+01:00,QR,Dual-Ranking+NSGA-II,welded_beam,4.46E+02,5.68E-14,3.29E+01,9.22E+00,5.91E-01,2.93E-04,5.93E-01,7.07E-04
2026-06-18T15:28:46+01:00,BNN,NSGA-II,re23,2.41E+10,3.82E-06,4.72E+10,4.02E+10,1.12E+00,2.39E-04,1.20E+00,3.97E-03
2026-06-18T15:28:46+01:00,BNN,Dual-Ranking+NSGA-II,re23,2.41E+10,3.82E-06,3.85E+10,2.74E+10,1.12E+00,2.30E-04,1.20E+00,3.50E-03
2026-06-18T15:32:39+01:00,BNN,NSGA-II,re24,4.89E+01,2.13E-14,6.12E+01,6.22E+00,1.18E+00,1.33E-05,1.19E+00,3.56E-05
2026-06-18T15:32:39+01:00,BNN,Dual-Ranking+NSGA-II,re24,4.89E+01,2.13E-14,6.88E+01,7.46E+00,1.18E+00,1.91E-05,1.19E+00,6.05E-05
2026-06-18T15:33:00+01:00,BNN,NSGA-II,re22,1.50E+03,2.27E-13,1.52E+11,4.84E+11,1.21E+00,4.93E-08,1.20E+00,5.70E-14
