
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=welded_beam | seed=29 | time=425.62716460227966 | MSE_test=805.8690862196979 | MSE_sur_real=3.193827371212967 | HV_sur=0.5994354333674572 | HV_real=0.5974508055951996 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=welded_beam | seed=30 | time=427.4994316101074 | MSE_test=805.8690862196979 | MSE_sur_real=575.493096580704 | HV_sur=0.5996327712156367 | HV_real=0.5942609086243477 | HV_bounds_check=None | solution_count=50

# 2026-06-18T18:34:09+01:00 | Prob-MOEA/D
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re24 | seed=1 | time=425.04542565345764 | MSE_test=0.07423399911251259 | MSE_sur_real=6.786210722984993 | HV_sur=1.1855005525501698 | HV_real=1.183929343626064 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re24 | seed=2 | time=424.5606589317322 | MSE_test=0.07423399911251259 | MSE_sur_real=6.755289589920888 | HV_sur=1.1869289244863814 | HV_real=1.1853352085343811 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re24 | seed=3 | time=424.48219203948975 | MSE_test=0.07423399911251259 | MSE_sur_real=2.376047999221266 | HV_sur=1.1830058220641988 | HV_real=1.1736510232861332 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re24 | seed=4 | time=425.701779127121 | MSE_test=0.07423399911251259 | MSE_sur_real=7.213408970894259 | HV_sur=1.1868557384842566 | HV_real=1.1855884012019522 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re24 | seed=5 | time=425.5081670284271 | MSE_test=0.07423399911251259 | MSE_sur_real=7.879904166158416 | HV_sur=1.1859442838098837 | HV_real=1.1841758987688629 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re24 | seed=6 | time=426.5304043292999 | MSE_test=0.07423399911251259 | MSE_sur_real=2.410849099169588 | HV_sur=1.1836797724160315 | HV_real=1.1749317636725978 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re24 | seed=7 | time=427.56936407089233 | MSE_test=0.07423399911251259 | MSE_sur_real=7.293087048661322 | HV_sur=1.1866734479100367 | HV_real=1.1849987607985089 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re24 | seed=8 | time=427.6442868709564 | MSE_test=0.07423399911251259 | MSE_sur_real=7.507336097574206 | HV_sur=1.1866109091433983 | HV_real=1.184991114870815 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re24 | seed=9 | time=428.7221305370331 | MSE_test=0.07423399911251259 | MSE_sur_real=7.509233839746992 | HV_sur=1.1863927694484133 | HV_real=1.1849879072266267 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re24 | seed=10 | time=428.2054843902588 | MSE_test=0.07423399911251259 | MSE_sur_real=7.03105405568972 | HV_sur=1.1859282157732653 | HV_real=1.1844643138268076 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re24 | seed=11 | time=427.5619442462921 | MSE_test=0.07423399911251259 | MSE_sur_real=7.240611728739719 | HV_sur=1.1862101823935989 | HV_real=1.1847829506130538 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re24 | seed=12 | time=427.4775333404541 | MSE_test=0.07423399911251259 | MSE_sur_real=6.785102882402101 | HV_sur=1.186851810900227 | HV_real=1.185693697244568 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re24 | seed=13 | time=428.23613238334656 | MSE_test=0.07423399911251259 | MSE_sur_real=7.571776158565016 | HV_sur=1.1871321618140855 | HV_real=1.1857484631089061 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re24 | seed=14 | time=429.7795262336731 | MSE_test=0.07423399911251259 | MSE_sur_real=8.352188857849239 | HV_sur=1.185959081429331 | HV_real=1.1847042283796552 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re24 | seed=15 | time=429.2735085487366 | MSE_test=0.07423399911251259 | MSE_sur_real=7.662271845363932 | HV_sur=1.1856520883476525 | HV_real=1.1837842050349854 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=re24 | seed=16 | time=428.92920446395874 | MSE_test=0.07423399911251259 | MSE_sur_real=7.5747456593599205 | HV_sur=1.1867902628394789 | HV_real=1.1853549480172247 | HV_bounds_check=None | solution_count=50
